Year,Country Name,Country Code,GDP,GDP_per_capita
2021,Lower middle income,LMC,6410605814422.77,2302.44736874388
2022,Lower middle income,LMC,6803437747882.44,2424.15054696003
2023,Lower middle income,LMC,7212754867718.69,2443.40827649123
2024,Lower middle income,LMC,7582925171440.16,2517.63261211924
2020,Luxembourg,LUX,66366885630.9508,116860.02817236
2021,Luxembourg,LUX,70965934440.7674,134965.815442152
2022,Luxembourg,LUX,70188819483.6281,123719.658915996
2023,Luxembourg,LUX,69701966860.5088,131407.681364513
2024,Luxembourg,LUX,70421024000.2725,137516.587324367
2020,"Macao SAR, China",MAC,23271029702.122,36976.2561071429
2021,"Macao SAR, China",MAC,28748073961.0022,45376.314586156
2022,"Macao SAR, China",MAC,23110764976.5182,36909.9564090312
2023,"Macao SAR, China",MAC,40458134366.2488,67476.5290813306
2024,"Macao SAR, China",MAC,44021751446.6446,73046.8890267079
2020,Madagascar,MDG,12245161113.1284,450.771615201509
2021,Madagascar,MDG,12814644792.231,483.469463351371
2022,Madagascar,MDG,13347233960.4438,503.514533472879
2023,Madagascar,MDG,13908224364.6228,508.718427705736
2024,Madagascar,MDG,14492369787.9345,544.997302693127
2020,Malawi,MWI,10928176721.5316,602.507478176106
2021,Malawi,MWI,11426314939.9064,617.447520802454
2022,Malawi,MWI,11531564448.65,604.269751184515
2023,Malawi,MWI,11749794461.1495,602.343619809252
2024,Malawi,MWI,11964445581.275,508.371273531708
2020,Malaysia,MYS,344706479641.244,9957.52626697613
2021,Malaysia,MYS,356134704342.139,10903.1116425938
2022,Malaysia,MYS,387694727478.777,11748.0919307944
2023,Malaysia,MYS,401479163711.428,11379.0851923557
2024,Malaysia,MYS,422011432356.573,11867.2586435443
2020,Maldives,MDV,3663253192.1122,7393.8886543933
2021,Maldives,MDV,5037261437.35294,10176.143882547
2022,Maldives,MDV,5733717713.57584,11786.0091545343
2023,Maldives,MDV,6004715686.05068,12530.3602359683
2024,Maldives,MDV,6312995521.4407,13215.5353637008
2020,Mali,MLI,18942927332.0975,953.242943290974
2021,Mali,MLI,19530336378.5945,1027.27345365357
2022,Mali,MLI,20215515808.5184,969.72220560562
2023,Mali,MLI,21169114244.2516,1035.86242628411
2024,Mali,MLI,22228532291.1523,1086.1762176779
2020,Malta,MLT,14377204308.2371,31833.596382464
2021,Malta,MLT,16289342191.4774,38065.354346575
2022,Malta,MLT,16984786096.0933,36224.2819955817
2023,Malta,MLT,18139125340.4493,40182.4313854634
2024,Malta,MLT,19221900877.3265,42347.3073860173
2020,Marshall Islands,MHL,220900000.0,5661.96787336674
2021,Marshall Islands,MHL,223600000.0,6258.61193705127
2022,Marshall Islands,MHL,221100000.0,6322.82855503156
2023,Marshall Islands,MHL,212400000.0,6678.34239060448
2024,Marshall Islands,MHL,218285536.079407,7466.65186507409
2020,Mauritania,MRT,7145411800.0896,1795.76459566714
2021,Mauritania,MRT,7198481873.57489,1947.78918383313
2022,Mauritania,MRT,7687691068.95683,1960.35240077424
2023,Mauritania,MRT,8187943518.06282,2120.82318421747
2024,Mauritania,MRT,8613716581.00209,2082.78374423714
2020,Mauritius,MUS,11853530018.6947,9011.04288445023
2021,Mauritius,MUS,12257000314.8444,9068.97300226707
2022,Mauritius,MUS,13322509534.0851,10223.7882316574
2023,Mauritius,MUS,13989676007.3783,11182.186568616
2024,Mauritius,MUS,14646337854.9178,11871.733679438
2020,Mexico,MEX,1170944075562.06,8841.2707511328
2021,Mexico,MEX,1241768434263.7,10314.0506725979
2022,Mexico,MEX,1287850323410.01,11402.1410374782
2023,Mexico,MEX,1330290026507.73,13826.1306570122
2024,Mexico,MEX,1349633274638.14,14157.9445835849
2020,"Micronesia, Fed. Sts.",FSM,328143728.237262,3362.02793142215
2021,"Micronesia, Fed. Sts.",FSM,338315214.387187,3508.22356270221
2022,"Micronesia, Fed. Sts.",FSM,328484228.255961,3710.12448453257
2023,"Micronesia, Fed. Sts.",FSM,330068007.612522,3941.37247887414
2024,"Micronesia, Fed. Sts.",FSM,332441472.232801,4166.00476748564
2020,"Middle East, North Africa, Afghanistan & Pakistan",MEA,3815126319217.23,4707.81986084887
2021,"Middle East, North Africa, Afghanistan & Pakistan",MEA,4009121218432.45,5575.27298626728
2022,"Middle East, North Africa, Afghanistan & Pakistan",MEA,4264800933987.68,6383.39839256713
2023,"Middle East, North Africa, Afghanistan & Pakistan",MEA,4356654435885.64,6063.05247657864
2024,"Middle East, North Africa, Afghanistan & Pakistan",MEA,4441255215026.51,6180.85878446824
2020,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1944741591324.67,2375.4738441756
2021,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2031279316737.55,2712.78189413176
2022,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2116184679697.21,2970.11428767476
2023,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2177405849883.04,2792.71457545742
2024,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2224467366545.57,2905.83377209255
2020,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1958778991324.67,2381.42542469934
2021,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2046301016737.55,2719.53126773593
2022,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2131819679697.21,2975.95566292741
2023,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2192328549883.04,2797.40730719316
2024,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2235426966545.57,2903.59793979158
2020,Middle income,MIC,29976533418754.6,5096.7359040376
2021,Middle income,MIC,32221704996904.7,5966.0001578766
2022,Middle income,MIC,33498581572684.0,6205.5459977675
2023,Middle income,MIC,35131866253295.2,6347.75391928372
2024,Middle income,MIC,36662034510703.6,6524.2573581605
2020,Moldova,MDA,8403210632.93021,4375.7788930524
2021,Moldova,MDA,9573777856.36482,5274.60582195352
2022,Moldova,MDA,9133384074.97203,5744.29618434435
2023,Moldova,MDA,9242984683.8717,6799.58594644576
2024,Moldova,MDA,9252510449.57983,7617.51613089815
2020,Monaco,MCO,6136054329.90152,176891.886538492
2021,Monaco,MCO,7500235156.94536,223823.363960226
2022,Monaco,MCO,8328781591.62882,226052.001905201
2023,Monaco,MCO,8748833912.54286,256580.515122745
2024,Monaco,MCO,8748833912.54286,256580.515122745
2020,Mongolia,MNG,13528524951.0287,4001.25193077703
2021,Mongolia,MNG,13749955731.6936,4517.61578018785
2022,Mongolia,MNG,14441951078.838,4993.51487463495
2023,Mongolia,MNG,15513848972.8704,5838.63108083902
